sample	phenotype	group
chrA_2015_quant	B.napus	WEAm
chrA_2016_quant	B.napus	S
chrA_2018_quant	B.napus	WeA
chrA_2058_quant	B.napus	WEsA
chrA_2059_quant	B.napus	WeA
chrA_2060_quant	B.napus	WEsA
chrA_2061_quant	B.napus	S
chrA_2063_quant	B.napus	WEAm
chrA_2064_quant	B.napus	WEsA
chrA_2067_quant	B.napus	WEAm
chrA_2068_quant	B.napus	WEAm
chrA_2069_quant	B.napus	S
chrA_2071_quant	B.napus	S
chrA_2072_quant	B.napus	S
chrA_2073_quant	B.napus	R
chrA_2078_quant	B.napus	WEsA
chrA_2079_quant	B.napus	WEsA
chrA_2083_quant	B.napus	WEsA
chrA_2084_quant	B.napus	R
chrA_2087_quant	B.napus	S
chrA_2088_quant	B.napus	WeA
chrA_2089_quant	B.napus	WeA
chrA_2090_quant	B.napus	WEAm
chrA_2091_quant	B.napus	S
chrA_2094_quant	B.napus	WeA
chrA_2095_quant	B.napus	R
chrA_2097_quant	B.napus	WeA
chrA_2098_quant	B.napus	WeA
chrA_2099_quant	B.napus	WEAm
chrA_2100_quant	B.napus	S
chrA_2102_quant	B.napus	WeA
chrA_2103_quant	B.napus	WeA
chrA_2104_quant	B.napus	R
chrA_2105_quant	B.napus	WeA
chrA_2106_quant	B.napus	WEAm
chrA_2107_quant	B.napus	WeA
chrA_2110_quant	B.napus	WeA
chrA_2111_quant	B.napus	S
chrA_2112_quant	B.napus	WEAm
chrA_2113_quant	B.napus	WEAm
chrA_2114_quant	B.napus	WEAm
chrA_2115_quant	B.napus	WEAm
chrA_2116_quant	B.napus	WEAm
chrA_2117_quant	B.napus	WEAm
chrA_2118_quant	B.napus	WEAm
chrA_2119_quant	B.napus	WEAm
chrA_2120_quant	B.napus	WEAm
chrA_2121_quant	B.napus	WEAm
chrA_2122_quant	B.napus	WEAm
chrA_2123_quant	B.napus	WEAm
chrA_2124_quant	B.napus	S
chrA_2125_quant	B.napus	WEAm
chrA_2126_quant	B.napus	WEAm
chrA_2127_quant	B.napus	WEAm
chrA_2128_quant	B.napus	WEAm
chrA_2129_quant	B.napus	WEAm
chrA_2130_quant	B.napus	WEAm
chrA_2131_quant	B.napus	WEAm
chrA_2132_quant	B.napus	WEsA
chrA_2134_quant	B.napus	R
chrA_2135_quant	B.napus	WEsA
chrA_2137_quant	B.napus	S
chrA_2139_quant	B.napus	WEAm
chrA_2140_quant	B.napus	S
chrA_3001_quant	B.napus	WeA
chrA_3007_quant	B.napus	S
chrA_3008_quant	B.napus	SK
chrA_3009_quant	B.napus	WEAm
chrA_3010_quant	B.napus	S
chrA_3011_quant	B.napus	SK
chrA_3012_quant	B.napus	S
chrA_3015_quant	B.napus	S
chrA_3016_quant	B.napus	SK
chrA_3018_quant	B.napus	WEAm
chrA_3019_quant	B.napus	S
chrA_3021_quant	B.napus	WEAm
chrA_3022_quant	B.napus	WEAm
chrA_3023_quant	B.napus	WEAm
chrA_3028_quant	B.napus	WeA
chrA_3029_quant	B.napus	WEAm
chrA_3030_quant	B.napus	S
chrA_3031_quant	B.napus	S
chrA_3032_quant	B.napus	WEsA
chrA_3033_quant	B.napus	S
chrA_3036_quant	B.napus	R
chrA_3038_quant	B.napus	R
chrA_3039_quant	B.napus	R
chrA_3040_quant	B.napus	R
chrA_3042_quant	B.napus	R
chrA_3043_quant	B.napus	R
chrA_3044_quant	B.napus	R
chrA_3045_quant	B.napus	R
chrA_3047_quant	B.napus	R
chrA_3048_quant	B.napus	WEAm
chrA_3049_quant	B.napus	R
chrA_3050_quant	B.napus	SK
chrA_3051_quant	B.napus	R
chrA_3052_quant	B.napus	R
chrA_3053_quant	B.napus	R
chrA_3054_quant	B.napus	R
chrA_3055_quant	B.napus	R
chrA_3056_quant	B.napus	R
chrA_3057_quant	B.napus	R
chrA_3058_quant	B.napus	R
chrA_3059_quant	B.napus	R
chrA_3060_quant	B.napus	R
chrA_3061_quant	B.napus	S
chrA_3062_quant	B.napus	S
chrA_3063_quant	B.napus	WeA
chrA_3064_quant	B.napus	S
chrA_3065_quant	B.napus	WEAm
chrA_3066_quant	B.napus	S
chrA_3067_quant	B.napus	WEsA
chrA_3068_quant	B.napus	S
chrA_3069_quant	B.napus	WeA
chrA_3070_quant	B.napus	S
chrA_3071_quant	B.napus	S
chrA_3075_quant	B.napus	S
chrA_3076_quant	B.napus	SK
chrA_3077_quant	B.napus	SK
chrA_3078_quant	B.napus	SK
chrA_3079_quant	B.napus	SK
chrA_3080_quant	B.napus	SK
chrA_3081_quant	B.napus	SK
chrA_3082_quant	B.napus	SK
chrA_3083_quant	B.napus	SK
chrA_3084_quant	B.napus	SK
chrA_3085_quant	B.napus	SK
chrA_3086_quant	B.napus	SK
chrA_3087_quant	B.napus	SK
chrA_3088_quant	B.napus	SK
chrA_3089_quant	B.napus	SK
chrA_3090_quant	B.napus	SK
chrA_3091_quant	B.napus	WeA
chrA_3092_quant	B.napus	S
chrA_3093_quant	B.napus	S
chrA_3094_quant	B.napus	S
chrA_3095_quant	B.napus	S
chrA_3096_quant	B.napus	S
chrA_3097_quant	B.napus	S
chrA_3098_quant	B.napus	S
chrA_3100_quant	B.napus	WEAm
chrA_3101_quant	B.napus	S
chrA_3102_quant	B.napus	S
chrA_3104_quant	B.napus	S
chrA_3106_quant	B.napus	WEsA
chrA_3107_quant	B.napus	WEsA
chrA_3109_quant	B.napus	S
chrA_3110_quant	B.napus	WEAm
chrA_3112_quant	B.napus	WEAm
chrA_3117_quant	B.napus	WEsA
1020_quant	B.rapa	Chinensis
1040_quant	B.rapa	Chinensis
1041_quant	B.rapa	Chinensis
1042_quant	B.rapa	Chinensis
1043_quant	B.rapa	Chinensis
1067_quant	B.rapa	Chinensis
1068_quant	B.rapa	Chinensis
1069_quant	B.rapa	Chinensis
1070_quant	B.rapa	Chinensis
1072_quant	B.rapa	Chinensis
1073_quant	B.rapa	Chinensis
1075_quant	B.rapa	Chinensis
1076_quant	B.rapa	Chinensis
1077_quant	B.rapa	Chinensis
1079_quant	B.rapa	Chinensis
1080_quant	B.rapa	Chinensis
1081_quant	B.rapa	Chinensis
1087_quant	B.rapa	Chinensis
1098_quant	B.rapa	Chinensis
1099_quant	B.rapa	Chinensis
1100_quant	B.rapa	Chinensis
1101_quant	B.rapa	Chinensis
1108_quant	B.rapa	Chinensis
1122_quant	B.rapa	Chinensis
1130_quant	B.rapa	Chinensis
1001_quant	B.rapa	EU-CA
1002_quant	B.rapa	EU-CA
1003_quant	B.rapa	EU-CA
1005_quant	B.rapa	EU-CA
1008_quant	B.rapa	EU-CA
1013_quant	B.rapa	EU-CA
1014_quant	B.rapa	EU-CA
1021_quant	B.rapa	EU-CA
1024_quant	B.rapa	EU-CA
1028_quant	B.rapa	EU-CA
1029_quant	B.rapa	EU-CA
1031_quant	B.rapa	EU-CA
1034_quant	B.rapa	EU-CA
1036_quant	B.rapa	EU-CA
1037_quant	B.rapa	EU-CA
1046_quant	B.rapa	EU-CA
1048_quant	B.rapa	EU-CA
1057_quant	B.rapa	EU-CA
1095_quant	B.rapa	EU-CA
1097_quant	B.rapa	EU-CA
1128_quant	B.rapa	EU-CA
1147_quant	B.rapa	EU-CA
1051_quant	B.rapa	Sarson
1052_quant	B.rapa	Sarson
1053_quant	B.rapa	Sarson
1055_quant	B.rapa	Sarson
1085_quant	B.rapa	Sarson
1088_quant	B.rapa	Sarson
1134_quant	B.rapa	Sarson
1135_quant	B.rapa	Sarson
1136_quant	B.rapa	Sarson
1137_quant	B.rapa	Sarson
1138_quant	B.rapa	Sarson
1139_quant	B.rapa	Sarson
1140_quant	B.rapa	Sarson
1141_quant	B.rapa	Sarson
1142_quant	B.rapa	Sarson
1143_quant	B.rapa	Sarson
1144_quant	B.rapa	Sarson
1145_quant	B.rapa	Sarson
1146_quant	B.rapa	Sarson
1149_quant	B.rapa	Sarson
1010_quant	B.rapa	Pekinensis
1012_quant	B.rapa	Pekinensis
1015_quant	B.rapa	Pekinensis
1016_quant	B.rapa	Pekinensis
1044_quant	B.rapa	Pekinensis
1045_quant	B.rapa	Pekinensis
1071_quant	B.rapa	Pekinensis
1074_quant	B.rapa	Pekinensis
1082_quant	B.rapa	Pekinensis
1103_quant	B.rapa	Pekinensis
1104_quant	B.rapa	Pekinensis
1106_quant	B.rapa	Pekinensis
1107_quant	B.rapa	Pekinensis
1109_quant	B.rapa	Pekinensis
1110_quant	B.rapa	Pekinensis
1112_quant	B.rapa	Pekinensis
1114_quant	B.rapa	Pekinensis
1115_quant	B.rapa	Pekinensis
1116_quant	B.rapa	Pekinensis
1117_quant	B.rapa	Pekinensis
1119_quant	B.rapa	Pekinensis
1120_quant	B.rapa	Pekinensis
1121_quant	B.rapa	Pekinensis
1123_quant	B.rapa	Pekinensis
1124_quant	B.rapa	Pekinensis
1125_quant	B.rapa	Pekinensis
1126_quant	B.rapa	Pekinensis
